EER = 0.157932 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.246072 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.216721 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.191224 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.184488 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.173760 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.152980 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.209902 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.322898 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.409428 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.461133 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.115371 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.102884 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.125111 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.139993 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.149490 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.208055 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.175808 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.150904 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.132079 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.120368 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.152387 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.186247 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.195672 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.207000 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.207234 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.165494 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.157756 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.162329 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.142010 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.147643 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.232434 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.191224 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.176750 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.173760 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.166549 for C = 5.000000e+02, gamma = 9.000000e-11 
EER = 0.152980 for C = 7.000000e+02, gamma = 1.000000e-06 
EER = 0.210341 for C = 7.000000e+02, gamma = 3.000000e-06 
EER = 0.322898 for C = 7.000000e+02, gamma = 5.000000e-06 
EER = 0.409428 for C = 7.000000e+02, gamma = 7.000000e-06 
EER = 0.458495 for C = 7.000000e+02, gamma = 9.000000e-06 
EER = 0.115371 for C = 7.000000e+02, gamma = 1.000000e-07 
EER = 0.102876 for C = 7.000000e+02, gamma = 3.000000e-07 
EER = 0.125111 for C = 7.000000e+02, gamma = 5.000000e-07 
