EER = 0.364364 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.302698 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.239846 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.199229 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.179069 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.389905 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.425783 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.424024 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.407945 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.376539 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.362289 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.351038 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.355434 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.380077 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.385414 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.151497 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.198340 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.248153 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.302146 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.338727 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.031426 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.052476 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.079751 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.124692 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.151497 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.044847 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.034295 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.030074 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.028758 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.030537 for C = 5.000000e+02, gamma = 9.000000e-11 
EER = 0.364364 for C = 7.000000e+02, gamma = 1.000000e-06 
EER = 0.302698 for C = 7.000000e+02, gamma = 3.000000e-06 
EER = 0.239846 for C = 7.000000e+02, gamma = 5.000000e-06 
EER = 0.199229 for C = 7.000000e+02, gamma = 7.000000e-06 
EER = 0.179069 for C = 7.000000e+02, gamma = 9.000000e-06 
EER = 0.389905 for C = 7.000000e+02, gamma = 1.000000e-07 
EER = 0.425783 for C = 7.000000e+02, gamma = 3.000000e-07 
EER = 0.424024 for C = 7.000000e+02, gamma = 5.000000e-07 
