EER = 0.383635 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.324637 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.278684 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.291432 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.303291 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.312185 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.519715 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.556181 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.593240 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.645716 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.698784 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.457160 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.485918 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.489475 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.503409 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.516158 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.356063 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.456270 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.446487 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.452120 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.455084 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.376816 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.271568 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.269197 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.296176 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.332938 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.353691 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.383931 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.393122 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.393715 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.377409 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.278684 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.312185 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.341832 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.356656 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.354284 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.519715 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.556478 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.593240 for C = 5.000000e+02, gamma = 5.000000e-06 
